materials,pathString
Poly(3-hydroxybutyrate),Trash/plastic/Polyesters/Poly(3-hydroxybutyrate)
Poly(4-hydroxybutyrate),Trash/plastic/Polyesters/Poly(4-hydroxybutyrate)
Polylacticacid,Trash/plastic/Polyesters/Polylacticacid
"Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)","Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)"
Polyacetal-Polyoxymethylene,"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Polyacetal-Polyoxymethylene"
Poly(3-butoxypropyleneoxide),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(3-butoxypropyleneoxide)"
Poly(epichlorohydrin),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(epichlorohydrin)"
Poly(ethyleneglycol),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(ethyleneglycol)"
Poly(hexamethyleneoxide),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(hexamethyleneoxide)"
Poly(3-methoxypropyleneoxide),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(3-methoxypropyleneoxide)"
Poly[oxy(hexyloxymethyl)ethylene],"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly[oxy(hexyloxymethyl)ethylene]"
Poly(oxymethylene-oxyethylene),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(oxymethylene-oxyethylene)"
Poly(oxymethylene-oxytetramethylene),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(oxymethylene-oxytetramethylene)"
Poly(propyleneglycol),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(propyleneglycol)"
Poly(tetrahydrofuran),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(tetrahydrofuran)"
Poly(trimethyleneglycol),"Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly(trimethyleneglycol)"
"Poly[1,1-bis(chloromethyl)trimethyleneoxide]","Trash/plastic/Polyethers(POLYGLYCOLS,Oxyalkylenes,GLYCIDYLETHERS&CYCLICETHERS)/Poly[1,1-bis(chloromethyl)trimethyleneoxide]"
Polyethersulfones(POLYSULFONE),Trash/plastic/Polyethersulfones(POLYSULFONE)
Poly(etherethersulfone),Trash/plastic/Polyethersulfones(POLYSULFONE)/Poly(etherethersulfone)
Poly(ethersulfone),Trash/plastic/Polyethersulfones(POLYSULFONE)/Poly(ethersulfone)
Poly(phenylsulfone),Trash/plastic/Polyethersulfones(POLYSULFONE)/Poly(phenylsulfone)
BisphenolAPolysulfone,Trash/plastic/Polyethersulfones(POLYSULFONE)/BisphenolAPolysulfone
Polyfumarates(POLYBUTENEDIOATES),Trash/plastic/Polyfumarates(POLYBUTENEDIOATES)
Poly(dimethylfumarate),Trash/plastic/Polyfumarates(POLYBUTENEDIOATES)/Poly(dimethylfumarate)
Poly(dibutylfumarate),Trash/plastic/Polyfumarates(POLYBUTENEDIOATES)/Poly(dibutylfumarate)
Poly(diethylfumarate),Trash/plastic/Polyfumarates(POLYBUTENEDIOATES)/Poly(diethylfumarate)
Poly(dipropylfumarate),Trash/plastic/Polyfumarates(POLYBUTENEDIOATES)/Poly(dipropylfumarate)
Polyhalodienes,Trash/plastic/Polyhalodienes
PoIy(1-chloro-1-butenylene)(Polychloroprene),Trash/plastic/Polyhalodienes/PoIy(1-chloro-1-butenylene)(Polychloroprene)
Poly(1-bromo-1-butenylene)(Polybromoprene),Trash/plastic/Polyhalodienes/Poly(1-bromo-1-butenylene)(Polybromoprene)
Polyhaloolefins(Vinylhalides),Trash/plastic/Polyhaloolefins(Vinylhalides)
PVC,Trash/plastic/Polyhaloolefins(Vinylhalides)/PVC
