"","Brand","ItemDescription"
"28298","super bock","Cups"
"28299","super bock","Cups"
"28300","super bock","Cups"
"28301","super bock","Cups"
"28302","super bock","Cups"
"28303","super bock","Cups"
"28304","super bock","Cups"
"28305","super bock","Cups"
"28306","super bock","Cups"
"28307","super bock","Cups"
"28308","super bock","Cups"
"28309","super bock","Cups"
"28310","super bock","Cups"
"28311","super bock","Cups"
"28312","super bock","Cups"
"28313","super bock","Cups"
"28314","super bock","Cups"
"28315","super bock","Cups"
"28316","super bock","Cups"
"28317","super bock","Cups"
"28318","super bock","Cups"
"28319","super bock","Cups"
"28320","super bock","Cups"
"28321","super bock","Cups"
"28322","super bock","Cups"
"28323","super bock","Cups"
"28324","super bock","Cups"
"28325","super bock","Cups"
"28326","super bock","Cups"
"28327","super bock","Cups"
"28328","super bock","Cups"
"28329","super bock","Cups"
"28330","super bock","Cups"
"28331","super bock","Cups"
"28332","super bock","Cups"
"28333","super bock","Cups"
"28334","super bock","Cups"
"28335","super bock","Cups"
"28336","super bock","Cups"
"28337","super bock","Cups"
"28338","super bock","Cups"
"28339","super bock","Cups"
"28340","super bock","Cups"
"28341","super bock","Cups"
"28342","super bock","Cups"
"28343","Pepsi","Other Bottles"
"28344","LÃ­der","Plastic wrappers"
"28345","Sagres","Other Bottles"
"28346","Continente","juice box"
"28347","McDonalds","Cups"
"28348","McDonalds","Cups"
"28349","McDonalds","Cups"
"28350","McDonalds","Cups"
"28351","McDonalds","Cups"
"28352","McDonalds","Cups"
"28353","McDonalds","Cups"
"28354","McDonalds","Cups"
"28355","McDonalds","Cups"
"28356","McDonalds","Cups"
"28357","McDonalds","Cups"
"28358","McDonalds","Cups"
"28359","McDonalds","Cups"
"28360","McDonalds","Cups"
"28361","McDonalds","Cups"
"28362","McDonalds","Cups"
"28363","McDonalds","Cups"
"28364","McDonalds","Cups"
"28365","McDonalds","Cups"
"28366","McDonalds","Cups"
"28367","McDonalds","Cups"
"28368","McDonalds","Cups"
"28369","McDonalds","Cups"
"28370","McDonalds","Cups"
"28371","McDonalds","Cups"
"28372","McDonalds","Cups"
"28373","McDonalds","Cups"
"28374","McDonalds","Cups"
"28375","McDonalds","Cups"
"28376","McDonalds","Cups"
"28377","McDonalds","Cups"
"28378","McDonalds","Cups"
"28379","McDonalds","Cups"
"28380","McDonalds","Cups"
"28381","McDonalds","Cups"
"28382","McDonalds","Cups"
"28383","McDonalds","Cups"
"28384","McDonalds","Cups"
"28385","McDonalds","Cups"
"28386","McDonalds","take out/away containers"
"28387","McDonalds","take out/away containers"
"28388","McDonalds","take out/away containers"
"28389","McDonalds","take out/away containers"
"28390","McDonalds","take out/away containers"
"28391","McDonalds","take out/away containers"
"28392","McDonalds","take out/away containers"
"28393","McDonalds","take out/away containers"
"28394","McDonalds","take out/away containers"
"28395","McDonalds","take out/away containers"
"28396","McDonalds","take out/away containers"
"28397","McDonalds","take out/away containers"
"28398","McDonalds","take out/away containers"
"28399","Correio","reading materials"
"28400","Jumbo","Other Bottles"
"28401","Jumbo","Other Bottles"
"28402","Continente","Other Bottles"
"28403","Pingo Doce","juice box"
"28404","Pingo Doce","juice box"
"28405","Burger King","Cups"
"28406","Nespresso","Cups"
"28407","Brown Smoking","tobacco packaging/wrap"
"28408","Rolling Supreme","tobacco packaging/wrap"
"28409","Unknown","Cigarette Packaging"
"28410","Unknown","Cigarette Packaging"
"28411","Unknown","Cigarette Packaging"
"28412","Unknown","Cigarette Packaging"
"28413","Unknown","Cigarette Packaging"
"28414","Unknown","Cigarette Packaging"
"28415","Danidoff","Cigarette Packaging"
"28416","Aushin","Cigarette Packaging"
"28417","Aushin","Cigarette Packaging"
"28418","Lucky Strike","Cigarette Packaging"
"28419","Kanelia","Cigarette Packaging"
"28420","Lucky Strike","Cigarette Packaging"
"28421","West","Cigarette Packaging"
"28422","Venhl","Cigarette Packaging"
"28423","McDonalds","Plastic wrappers"
"28424","McDonalds","Plastic wrappers"
"28425","McDonalds","Plastic wrappers"
"28426","McDonalds","Plastic wrappers"
"28427","McDonalds","Plastic wrappers"
"28428","McDonalds","Plastic wrappers"
"28429","McDonalds","Plastic wrappers"
"28430","McDonalds","Plastic wrappers"
"28431","McDonalds","bottle caps and rings"
"28432","McDonalds","bottle caps and rings"
"28433","McDonalds","bottle caps and rings"
"28434","McDonalds","bottle caps and rings"
"28435","McDonalds","bottle caps and rings"
"28436","McDonalds","bottle caps and rings"
"28437","McDonalds","bottle caps and rings"
"28438","McDonalds","bottle caps and rings"
"28439","Yummy","Cups"
"28440","Coca-Cola","Other Bottles"
"28441","Coca-Cola","Other Bottles"
"28442","Rodeo","Other Bottles"
"28443","Monster Energy","Other Bottles"
"28444","Monster Energy","Other Bottles"
"28445","Sagres","Other Bottles"
"28446","Red Bull","Other Bottles"
"28447","Luso","Plastic bottle"
"28448","San Benedeto","Plastic bottle"
"28449","Monte Rios","Plastic bottle"
"28450","Continente","Plastic bottle"
"28451","Penacova","Plastic bottle"
"28452","Saguano","Plastic bottle"
"28453","Fanta","Other Bottles"
"28454","Mell","Other Bottles"
"28455","Continente","Other Bottles"
"28456","Full protrein","Other Bottles"
"28457","Kinder","Plastic wrappers"
"28458","Haribo","Plastic wrappers"
"28459","Matutano","Plastic wrappers"
"28460","Magnum","Plastic wrappers"
"28461","Bollycao","Plastic wrappers"
"28462","Snickers","Plastic wrappers"
"28463","Calipo","Plastic wrappers"
"28464","Unknown","Plastic bottle"
"28465","Unknown","Plastic bottle"
"28466","Evian","Plastic bottle"
"28467","Unknown","Plastic bottle"
"28468","McDonalds","Cups"
"28469","McDonalds","Cups"
"28470","McDonalds","Cups"
"28471","McDonalds","take out/away containers"
"28472","McDonalds","take out/away containers"
"28473","McDonalds","take out/away containers"
"28474","McDonalds","take out/away containers"
"28475","McDonalds","take out/away containers"
"28476","McDonalds","take out/away containers"
"28477","McDonalds","take out/away containers"
"28478","McDonalds","take out/away containers"
"28479","McDonalds","take out/away containers"
"28480","McDonalds","take out/away containers"
"28481","McDonalds","take out/away containers"
"28482","McDonalds","take out/away containers"
"28483","McDonalds","take out/away containers"
"28484","McDonalds","take out/away containers"
"28485","McDonalds","take out/away containers"
"28486","McDonalds","take out/away containers"
"28487","McDonalds","take out/away containers"
"28488","McDonalds","take out/away containers"
"28489","McDonalds","take out/away containers"
"28490","McDonalds","take out/away containers"
"28491","McDonalds","take out/away containers"
"28492","McDonalds","take out/away containers"
"28493","McDonalds","take out/away containers"
"28494","McDonalds","take out/away containers"
"28495","Somersby","Cups"
"28496","Somersby","Cups"
"28497","Somersby","Cups"
"28498","Somersby","Cups"
"28499","Somersby","Cups"
"28500","Pringles","Cups"
"28501","Estrela","Cups"
"28502","Carlsberg","Cups"
"28503","Monchique","Plastic bottle"
"28504","Serra da Estrela","Plastic bottle"
"28505","Lay's","Plastic wrappers"
"28506","Camel","Cigarette Packaging"
"28507","Camel","Cigarette Packaging"
"28508","Camel","Cigarette Packaging"
"28509","Camel","Cigarette Packaging"
"28510","Camel","Cigarette Packaging"
"28511","Camel","Cigarette Packaging"
"28512","Camel","Cigarette Packaging"
"28513","Camel","Cigarette Packaging"
"28514","Camel","Cigarette Packaging"
"28515","Camel","Cigarette Packaging"
"28516","Camel","Cigarette Packaging"
"28517","Unknown","Other Bottles"
"28518","Unknown","Other Bottles"
"28519","Unknown","Other Bottles"
"28520","Kefir","Other Bottles"
"28521","Kefir","Other Bottles"
"28522","Compal","Other Bottles"
"28523","DIA","Other Bottles"
"28524","DIA","Other Bottles"
"28525","DIA","Other Bottles"
"28526","DIA","Other Bottles"
"28527","Mimosa","Other Bottles"
"28528","Mimosa","Other Bottles"
"28529","Parmalat","Other Bottles"
"28530","Parmalat","Other Bottles"
"28531","Unknown","bottle caps and rings"
"28532","Unknown","bottle caps and rings"
"28533","Unknown","bottle caps and rings"
"28534","Unknown","bottle caps and rings"
"28535","Unknown","bottle caps and rings"
"28536","Unknown","bottle caps and rings"
"28537","Unknown","bottle caps and rings"
"28538","Unknown","bottle caps and rings"
"28539","Unknown","bottle caps and rings"
"28540","Unknown","bottle caps and rings"
"28541","Unknown","bottle caps and rings"
"28542","Unknown","bottle caps and rings"
"28543","Unknown","bottle caps and rings"
"28544","Unknown","bottle caps and rings"
"28545","Unknown","forks, knives, spoons"
"28546","Unknown","forks, knives, spoons"
"28547","Unknown","forks, knives, spoons"
"28548","Unknown","forks, knives, spoons"
"28549","Unknown","forks, knives, spoons"
"28550","Unknown","forks, knives, spoons"
"28551","Coca-Cola","Other Bottles"
"28552","Coca-Cola","Other Bottles"
"28553","Coca-Cola","Other Bottles"
"28554","Coca-Cola","Other Bottles"
"28555","Lipton","Other Bottles"
"28556","Lipton","Other Bottles"
"28557","Lipton","Other Bottles"
"28558","Lipton","Other Bottles"
"28559","Lipton","Other Bottles"
"28560","Lipton","Other Bottles"
"28561","Lipton","Other Bottles"
"28562","Red Bull","Other Bottles"
"28563","Red Bull","Other Bottles"
"28564","Red Bull","Other Bottles"
"28565","Red Bull","Other Bottles"
"28566","Red Bull","Other Bottles"
"28567","Sumol","Other Bottles"
"28568","Sumol","Other Bottles"
"28569","kong strong","Other Bottles"
"28570","kong strong","Other Bottles"
"28571","Argus","Other Bottles"
"28572","Argus","Other Bottles"
"28573","Argus","Other Bottles"
"28574","Pepsi","Other Bottles"
"28575","Pepsi","Other Bottles"
"28576","Pepsi","Other Bottles"
"28577","super bock","Other Bottles"
"28578","super bock","Other Bottles"
"28579","Dia","Other Bottles"
"28580","Fanta","Other Bottles"
"28581","Mimosa","Other Bottles"
"28582","Unknown","Plastic straw"
"28583","Unknown","Plastic straw"
"28584","Unknown","Plastic straw"
"28585","Unknown","Plastic straw"
"28586","Unknown","Plastic straw"
"28587","Unknown","Plastic straw"
"28588","Unknown","Plastic straw"
"28589","Unknown","Plastic straw"
"28590","Unknown","Plastic straw"
"28591","Unknown","Plastic straw"
"28592","Unknown","Plastic straw"
"28593","Unknown","Plastic straw"
"28594","Unknown","Plastic straw"
"28595","Unknown","Plastic straw"
"28596","Unknown","Plastic straw"
"28597","McDonalds","Plastic straw"
"28598","McDonalds","Plastic straw"
"28599","McDonalds","Plastic straw"
"28600","McDonalds","Plastic straw"
"28601","McDonalds","Plastic straw"
"28602","McDonalds","Plastic straw"
"28603","McDonalds","Plastic straw"
"28604","McDonalds","Plastic straw"
"28605","McDonalds","Plastic straw"
"28606","McDonalds","Plastic straw"
"28607","McDonalds","Plastic straw"
"28608","McDonalds","Plastic straw"
"28609","McDonalds","Plastic straw"
"28610","McDonalds","Plastic straw"
"28611","McDonalds","forks, knives, spoons"
"28612","McDonalds","forks, knives, spoons"
"28613","McDonalds","forks, knives, spoons"
"28614","McDonalds","forks, knives, spoons"
"28615","McDonalds","forks, knives, spoons"
"28616","McDonalds","forks, knives, spoons"
"28617","McDonalds","forks, knives, spoons"
"28618","McDonalds","Sachets"
"28619","McDonalds","Sachets"
"28620","McDonalds","Sachets"
"28621","McDonalds","Sachets"
"28622","McDonalds","Sachets"
"28623","McDonalds","Sachets"
"28624","McDonalds","Sachets"
"28625","Unknown","Cups"
"28626","Unknown","Cups"
"28627","Unknown","Cups"
"28628","Unknown","Cups"
"28629","Unknown","Cups"
"28630","Unknown","Cups"
"28631","Unknown","Cups"
"28632","Unknown","Cups"
"28633","Unknown","Cups"
"28634","Unknown","Cups"
"28635","Unknown","Cups"
"28636","Unknown","Cups"
"28637","Unknown","Cups"
"28638","Unknown","Cups"
"28639","Unknown","Cups"
"28640","Unknown","Cups"
"28641","Unknown","Cups"
"28642","Unknown","Cups"
"28643","Unknown","Cups"
"28644","Heineken","Cups"
"28645","Heineken","Cups"
"28646","Unknown","Plastic wrappers"
"28647","Unknown","Plastic wrappers"
"28648","Unknown","Plastic wrappers"
"28649","Unknown","Plastic wrappers"
"28650","Unknown","Plastic wrappers"
"28651","Unknown","Plastic wrappers"
"28652","Unknown","Plastic wrappers"
"28653","Unknown","Plastic wrappers"
"28654","Unknown","Plastic wrappers"
"28655","Donuts","Plastic wrappers"
"28656","Donuts","Plastic wrappers"
"28657","Nobre","Plastic wrappers"
"28658","Unknown","Other Bottles"
"28659","Unknown","Other Bottles"
"28660","Unknown","Other Bottles"
"28661","7up","Plastic bottle"
"28662","7up","Plastic bottle"
"28663","AMANHACER","Plastic bottle"
"28664","SumOl + COmpal","Plastic bottle"
"28665","AMANHACER","Plastic bottle"
"28666","AMANHACER","Plastic bottle"
"28667","AMANHACER","Plastic bottle"
"28668","Pepsi","Plastic bottle"
"28669","Pepsi","Plastic bottle"
"28670","Fanta","Plastic bottle"
"28671","Unknown","Plastic bottle"
"28672","Unknown","Plastic bottle"
"28673","Unknown","Plastic bottle"
"28674","Unknown","Plastic bottle"
"28675","Unknown","Plastic bottle"
"28676","Unknown","Plastic bottle"
"28677","Unknown","Plastic bottle"
"28678","Unknown","Plastic bottle"
"28679","Unknown","Plastic bottle"
"28680","Unknown","Plastic bottle"
"28681","Unknown","Plastic bottle"
"28682","Unknown","Plastic bottle"
"28683","PENACOVA","Plastic bottle"
"28684","PENACOVA","Plastic bottle"
"28685","PENACOVA","Plastic bottle"
"28686","PINGO DOCE","Plastic bottle"
"28687","PINGO DOCE","Plastic bottle"
"28688","Evian","Plastic bottle"
"28689","PINGO DOCE","Plastic bottle"
"28690","CARAMULO","Plastic bottle"
"28691","VITALIS","Plastic bottle"
"28692","VITALIS","Plastic bottle"
"28693","Lipton","Plastic bottle"
"28694","Coca-Cola","Plastic bottle"
"28695","Unknown","lids"
"28696","McDonalds","lids"
"28697","McDonalds","lids"
"28698","McDonalds","lids"
"28699","McDonalds","lids"
"28700","McDonalds","lids"
"28701","McDonalds","lids"
"28702","McDonalds","lids"
"28703","McDonalds","lids"
"28704","McDonalds","lids"
"28705","McDonalds","lids"
"28706","McDonalds","lids"
"28707","McDonalds","lids"
"28708","YOUR COFFEE","lids"
"28709","YOUR COFFEE","lids"
"28710","NESPRESSO","lids"
"28711","MIMOSA","Other Bottles"
"28712","MIMOSA","Other Bottles"
"28713","MIMOSA","Other Bottles"
"28714","MIMOSA","Other Bottles"
"28715","MIMOSA","Other Bottles"
"28716","YOGGI","Other Bottles"
"28717","YOGGI","Other Bottles"
"28718","YOGGI","Other Bottles"
"28719","NestlÃ©","Other Bottles"
"28720","NestlÃ©","Other Bottles"
"28721","DIA","Other Bottles"
"28722","DIA","Other Bottles"
"28723","DIA","Other Bottles"
"28724","AMANHACER","Other Bottles"
"28725","AMANHECER","Other Bottles"
"28726","AMANHECER","Other Bottles"
"28727","AMANHECER","Other Bottles"
"28728","AMANHECER","Other Bottles"
"28729","AMANHECER","Other Bottles"
"28730","AMANHECER","Other Bottles"
"28731","COMPAL","juice box"
"28732","Unknown","Plastic bottle"
"28733","Unknown","Plastic bottle"
"28734","Unknown","Plastic bottle"
"28735","Unknown","Plastic bottle"
"28736","Unknown","Plastic bottle"
"28737","Unknown","Plastic bottle"
"28738","Unknown","Plastic bottle"
"28739","AMANHECER","Plastic bottle"
"28740","AMANHECER","Plastic bottle"
"28741","AMANHECER","Plastic bottle"
"28742","AMANHECER","Plastic bottle"
"28743","AMANHECER","Plastic bottle"
"28744","ESTRELA","Plastic bottle"
"28745","ESTRELA","Plastic bottle"
"28746","ESTRELA","Plastic bottle"
"28747","PINGO DOCE","Plastic bottle"
"28748","PINGO DOCE","Plastic bottle"
"28749","DON SIMON","Plastic bottle"
"28750","DIA","Plastic bottle"
"28751","DIA","Plastic bottle"
"28752","F festival","Cups"
"28753","Unknown","Plastic Bags"
"28754","Unknown","Plastic Bags"
"28755","Unknown","Plastic Bags"
"28756","Unknown","Plastic Bags"
"28757","Unknown","Plastic Bags"
"28758","Monster","Other Bottles"
"28759","Monster","Other Bottles"
"28760","Monster","Other Bottles"
"28761","Monster","Other Bottles"
"28762","Monster","Other Bottles"
"28763","Monster","Other Bottles"
"28764","Monster","Other Bottles"
"28765","Monster","Other Bottles"
"28766","Monster","Other Bottles"
"28767","Monster","Other Bottles"
"28768","Monster","Other Bottles"
"28769","Monster","Other Bottles"
"28770","Pepsi","Other Bottles"
"28771","Hell","Other Bottles"
"28772","Bandida do Pomar","Other Bottles"
"28773","Nestea","Other Bottles"
"28774","Nestea","Other Bottles"
"28775","Nestea","Other Bottles"
"28776","Super Bock","Other Bottles"
"28777","Sagres","Other Bottles"
"28778","Sagres","Other Bottles"
"28779","7 Up","Other Bottles"
"28780","Coca-Cola","Other Bottles"
"28781","7 Up","Other Bottles"
"28782","Coca-Cola","Other Bottles"
"28783","Coca-Cola","Other Bottles"
"28784","Stonyfield","Plastic wrappers"
"28785","Hipp","Plastic wrappers"
"28786","Board's Head","Plastic wrappers"
"28787","Sour Patch","Plastic wrappers"
"28788","Mentos","Plastic wrappers"
"28789","Welch's","Plastic wrappers"
"28790","Honey Stinger","Plastic wrappers"
"28791","Millville","Plastic wrappers"
"28792","Belvita","Plastic wrappers"
"28793","Nestle","Plastic wrappers"
"28794","Nature's Bakery","Plastic wrappers"
"28795","Nature's Bakery","Plastic wrappers"
"28796","Sqwincher Sqweeze","Plastic wrappers"
"28797","Yi Pin Soy Sauce","Plastic wrappers"
"28798","Delta","Plastic wrappers"
"28799","poland springs","Plastic bottle"
"28800","poland springs","Plastic bottle"
"28801","poland springs","Plastic bottle"
"28802","poland springs","Plastic bottle"
"28803","poland springs","Plastic bottle"
"28804","gatorade","Plastic bottle"
"28805","gatorade","Plastic bottle"
"28806","Crystal Geyser","Plastic bottle"
"28807","Niagara","Plastic bottle"
"28808","gatorade","bottle caps and rings"
"28809","Poland Spring","bottle caps and rings"
"28810","Poland Spring","bottle caps and rings"
"28811","crystal geyser","bottle caps and rings"
"28812","Aquafina","bottle caps and rings"
"28813","Poland Spring","bottle caps and rings"
"28814","Aquafina","Plastic bottle"
"28815","Toros Taqueria","Plastic wrappers"
"28816","Unknown","misc plastic foam"
"28817","Unknown","misc plastic foam"
"28818","Unknown","misc plastic foam"
"28819","Unknown","misc plastic foam"
"28820","Unknown","misc plastic foam"
"28821","Hot Hands Hand Warmers","containers (non-food)"
"28822","DeBevoise & Plimpton","containers (non-food)"
"28823","Purell","detergents, cleansers, bleach"
"28824","Splenda","Plastic wrappers"
"28825","Heineken","bottle caps and rings"
"28826","Dunkin Donuts","miscellaneous fragment"
"28827","Dunkin Donuts","miscellaneous fragment"
"28828","Kind","Plastic wrappers"
"28829","Dunkin Donuts","Cups"
"28830","Dunkin Donuts","lids"
"28831","Unknown","balloons"
"28832","Unknown","balloons"
"28833","Unknown","balloons"
"28834","Unknown","balloons"
"28835","Unknown","balloons"
"28836","Ruby Moon tag","miscellaneous fragment"
"28837","Unknown","Plastic Bags"
"28838","Unknown","Plastic Bags"
"28839","Unknown","Plastic Bags"
"28840","Unknown","Plastic Bags"
"28841","Unknown","Plastic Bags"
"28842","Members Mark","Plastic bottle"
"28843","Georgi","Plastic bottle"
"28844","Georgi","Plastic bottle"
"28845","Georgi","bottle caps and rings"
"28846","Georgi","bottle caps and rings"
"28847","Arizona","Plastic bottle"
"28848","Peanut Chews","Plastic wrappers"
"28849","Emerald Nuts","Plastic wrappers"
"28850","Skyflakes","Plastic wrappers"
"28851","Nutrisystem","Plastic wrappers"
"28852","Lance","Plastic wrappers"
"28853","Tates","Plastic wrappers"
"28854","Welch's","Plastic wrappers"
"28855","Aviva crackers","Plastic wrappers"
"28856","Docks match box","Cigarette Lighters"
"28857","Dunkin Donuts","Cups"
"28858","7-Eleven","Plastic wrappers"
"28859","coke","Plastic bottle"
"28860","Red Bull","Plastic bottle"
"28861","Monster","Plastic bottle"
"28862","Budweiser","Plastic bottle"
"28863","Red Bull","Plastic bottle"
"28864","Modelo","Plastic bottle"
"28865","Starbucks","Cups"
"28866","Starbucks","Cups"
"28867","Bentley Hotel","Cups"
"28868","Bentley Hotel","Cups"
"28869","Starbucks","Cups"
"28870","Starbucks","Cups"
"28871","Bentley Hotel","Cups"
"28872","Starbucks","lids"
"28873","Starbucks","Cups"
"28874","Florida Natural","Plastic bottle"
"28875","Florida Natural","bottle caps and rings"
"28876","Dynarex","detergents, cleansers, bleach"
"28877","Dynarex","detergents, cleansers, bleach"
"28878","Dunkin Donuts","Plastic wrappers"
"28879","Malboro","Cigarette Packaging"
"28880","Malboro","Cigarette Packaging"
"28881","Malboro","Cigarette Packaging"
"28882","Heinz","Plastic wrappers"
"28883","Laffy Taffy","Plastic wrappers"
"28884","Laffy Taffy","Plastic wrappers"
"28885","Cheetos","Plastic wrappers"
"28886","Unknown","plates"
"28887","Unknown","plates"
"28888","Unknown","plates"
"28889","Unknown","plates"
"28890","Waste Management","stationary, pens, pen caps"
"28891","Unknown","cotton swabs"
"28892","Unknown","cotton swabs"
"28893","Starbucks","Cups"
"28894","Starbucks","Cups"
"28895","Starbucks","Cups"
"28896","Starbucks","Cups"
"28897","Starbucks","lids"
"28898","Starbucks","lids"
"28899","Starbucks","lids"
"28900","starbucks","Plastic straw"
"28901","starbucks","Plastic straw"
"28902","starbucks","Plastic straw"
"28903","Nikolai","Plastic bottle"
"28904","Guidos milk carton","juice box"
"28905","Golia","Plastic wrappers"
"28906","wrigley's","Plastic wrappers"
"28907","wrigley's","Plastic wrappers"
"28908","wrigley's","Plastic wrappers"
"28909","wrigley's","Plastic wrappers"
"28910","Unknown","forks, knives, spoons"
"28911","Unknown","toothbrush"
"28912","Planters","Plastic wrappers"
"28913","Bazzini","Plastic wrappers"
"28914","Kopiko","Plastic wrappers"
"28915","Planters","Plastic wrappers"
"28916","Materne GoGo Squeez","Plastic wrappers"
"28917","Guava Classic series","Plastic wrappers"
"28918","7-Eleven","Plastic wrappers"
"28919","7-Eleven","Plastic wrappers"
"28920","Dasani","Plastic bottle"
"28921","Mnt Dew","Plastic bottle"
"28922","Essentia","Plastic bottle"
"28923","Snapple","Plastic bottle"
"28924","Snapple","Plastic bottle"
"28925","Corona","textiles, clothes, sheeting, gloves"
"28926","Essentia","bottle caps and rings"
"28927","Arizona","bottle caps and rings"
"28928","American Barley","bottle caps and rings"
"28929","McDonalds","Cups"
"28930","Acuvue","medical container"
"28931","American Spirit","Cigarette Packaging"
"28932","Chick Fill A","take out/away containers"
"28933","Chick Fill A","take out/away containers"
"28934","Dunkin Donuts","miscellaneous fragment"
"28935","Dunkin Donuts","miscellaneous fragment"
"28936","Dunkin Donuts","miscellaneous fragment"
"28937","Miracle Noodle","Plastic wrappers"
"28938","Premium Crackers","Plastic wrappers"
"28939","Wise","Plastic wrappers"
"28940","Cry Baby","Plastic wrappers"
"28941","snickers","Plastic wrappers"
"28942","Anastasia","Plastic wrappers"
"28943","Nature Valley","Plastic wrappers"
"28944","Nature Valley","Plastic wrappers"
"28945","7-Eleven","Plastic wrappers"
"28946","Wise","Plastic wrappers"
"28947","Enlightened","Plastic wrappers"
"28948","Oreo","Plastic wrappers"
"28949","Unknown","toothpicks, floss"
"28950","Unknown","toothpicks, floss"
"28951","Unknown","textiles, clothes, sheeting, gloves"
"28952","Lipton","Plastic wrappers"
"28953","danedar","Plastic wrappers"
"28954","Lipton","Plastic wrappers"
"28955","danedar","Plastic wrappers"
"28956","Poland Spring","miscellaneous fragment"
"28957","Poland Spring","miscellaneous fragment"
"28958","Poland Spring","miscellaneous fragment"
"28959","Sunset tomato","boxes"
"28960","Jolly Rancher","Plastic wrappers"
"28961","Kabir's Bakery","Plastic wrappers"
"28962","Newport","Cigarette Packaging"
"28963","Newport","Cigarette Packaging"
"28964","Newport","Cigarette Packaging"
"28965","Newport","Cigarette Packaging"
"28966","Newport","Cigarette Packaging"
"28967","Newport","Cigarette Packaging"
"28968","Newport","Cigarette Packaging"
"28969","Newport","Cigarette Packaging"
"28970","Newport","Cigarette Packaging"
"28971","Unknown","forks, knives, spoons"
"28972","Unknown","forks, knives, spoons"
"28973","Fiji","Plastic bottle"
"28974","Fiji","bottle caps and rings"
"28975","Dutch Masters","tobacco packaging/wrap"
"28976","Big Bus Tours","Plastic Bags"
"28977","Big Bus Tours","Plastic Bags"
"28978","Coastal Bay Confections","miscellaneous fragment"
"28979","Unknown","Cups"
"28980","Unknown","Cups"
"28981","Unknown","Cups"
"28982","Unknown","Cigarette Butts"
"28983","Unknown","Cigarette Butts"
"28984","Unknown","Cigarette Butts"
"28985","Unknown","Cigarette Butts"
"28986","Unknown","Cigarette Butts"
"28987","Unknown","Cigarette Butts"
"28988","Unknown","Cigarette Butts"
"28989","Unknown","Cigarette Butts"
"28990","Unknown","Cigarette Butts"
"28991","Unknown","Cigarette Butts"
"28992","Unknown","Cigarette Butts"
"28993","Unknown","Cigarette Butts"
"28994","Unknown","Cigarette Butts"
"28995","Unknown","Cigarette Butts"
"28996","Unknown","Cigarette Butts"
"28997","Unknown","Cigarette Butts"
"28998","Unknown","Cigarette Butts"
"28999","Unknown","Cigarette Butts"
"29000","Unknown","Cigarette Butts"
"29001","Unknown","Cigarette Butts"
"29002","Unknown","Cigarette Butts"
"29003","Unknown","Cigarette Butts"
"29004","Unknown","Cigarette Butts"
"29005","Unknown","Cigarette Butts"
"29006","Unknown","Cigarette Butts"
"29007","Unknown","Cigarette Butts"
"29008","Unknown","Cigarette Butts"
"29009","Unknown","Cigarette Butts"
"29010","Unknown","Cigarette Butts"
"29011","Unknown","Cigarette Butts"
"29012","Unknown","Cigarette Butts"
"29013","Unknown","Cigarette Butts"
"29014","Unknown","Cigarette Butts"
"29015","Unknown","Cigarette Butts"
"29016","Unknown","Cigarette Butts"
"29017","Unknown","Cigarette Butts"
"29018","Unknown","Cigarette Butts"
"29019","Unknown","Cigarette Butts"
"29020","Unknown","Cigarette Butts"
"29021","Unknown","Cigarette Butts"
"29022","Unknown","Cigarette Butts"
"29023","Unknown","Cigarette Butts"
"29024","Unknown","Cigarette Butts"
"29025","Unknown","Cigarette Butts"
"29026","Unknown","Cigarette Butts"
"29027","Unknown","Cigarette Butts"
"29028","Unknown","Cigarette Butts"
"29029","Unknown","Cigarette Butts"
"29030","Unknown","Cigarette Butts"
"29031","Unknown","Cigarette Butts"
"29032","Unknown","Cigarette Butts"
"29033","Unknown","Cigarette Butts"
"29034","Unknown","Cigarette Butts"
"29035","Unknown","Cigarette Butts"
"29036","Unknown","Cigarette Butts"
"29037","Unknown","Cigarette Butts"
"29038","Unknown","Cigarette Butts"
"29039","Unknown","Cigarette Butts"
"29040","Unknown","Cigarette Butts"
"29041","Unknown","Cigarette Butts"
"29042","Unknown","Cigarette Butts"
"29043","Unknown","Cigarette Butts"
"29044","Unknown","Cigarette Butts"
"29045","Unknown","Cigarette Butts"
"29046","Unknown","Cigarette Butts"
"29047","Unknown","Cigarette Butts"
"29048","Unknown","Cigarette Butts"
"29049","Unknown","Cigarette Butts"
"29050","Unknown","Cigarette Butts"
"29051","Unknown","Cigarette Butts"
"29052","Unknown","Cigarette Butts"
"29053","Unknown","Cigarette Butts"
"29054","Unknown","Cigarette Butts"
"29055","Unknown","Cigarette Butts"
"29056","Unknown","Cigarette Butts"
"29057","Unknown","Cigarette Butts"
"29058","Unknown","Cigarette Butts"
"29059","Unknown","Cigarette Butts"
"29060","Unknown","Cigarette Butts"
"29061","Unknown","Cigarette Butts"
"29062","Unknown","Cigarette Butts"
"29063","Unknown","Cigarette Butts"
"29064","Unknown","Cigarette Butts"
"29065","Unknown","Cigarette Butts"
"29066","Unknown","Cigarette Butts"
"29067","Unknown","Cigarette Butts"
"29068","Unknown","Cigarette Butts"
"29069","Unknown","Cigarette Butts"
"29070","Unknown","Cigarette Butts"
"29071","Unknown","Cigarette Butts"
"29072","Unknown","Cigarette Butts"
"29073","Unknown","Cigarette Butts"
"29074","Unknown","Cigarette Butts"
"29075","Unknown","Cigarette Butts"
"29076","Unknown","Cigarette Butts"
