from,to
"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)",Polystyrene
"POLYSTYRENES(POLYPHENYLETHYLENES,_-Methylstyrene)",Poly(4-tert-butylstyrene)
plastic,Polystyrenes(POLYPHENYLETHYLENES)
Polystyrenes(POLYPHENYLETHYLENES),PS
plastic,Polysuccinates
Polysuccinates,"Poly(1,4-butylenesuccinate)"
Polysuccinates,Poly(ethylenesuccinate)
Polysuccinates,"Poly(1,6-hexylenesuccinate)"
Polysuccinates,Poly(trimethylenesuccinate)
plastic,Polyterephthalates
Polyterephthalates,PET
Polyterephthalates,PBT
Polyterephthalates,PTT
Polyterephthalates,Poly(BisphenolAterephthalate)
Polyterephthalates,Poly(cyclohexylenedimethyleneterephthalate)
Polyterephthalates,Poly(trimethyleneterephthalate)
plastic,Polythioethers(Sulfides)
Polythioethers(Sulfides),"Poly(thio-1,4-phenylene)"
Polythioethers(Sulfides),Poly(ethylenesulfide)
Polythioethers(Sulfides),Poly(propylenesulfide)
plastic,Polyurethanes(isocyanates)
Polyurethanes(isocyanates),PU
Polyurethanes(isocyanates),"Poly[(diethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]"
Polyurethanes(isocyanates),"Poly[(tetraethyleneglycol)-alt-(1,6-hexamethylenediisocyanate)]"
Polyurethanes(isocyanates),"Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethanediisocyanate)]"
Polyurethanes(isocyanates),"Poly[(ethyleneglycol)-alt-(4,4'-diphenylmethanediisocyanate)]"
Polyurethanes(isocyanates),"Poly[(polytetrahydrofuran1000)-alt-(4,4'-diphenylmethanediisocyanate)]"
plastic,Polyvinylalcohols
Polyvinylalcohols,PVA
Polyvinylalcohols,Poly(4-vinylphenol)
Polyvinylalcohols,Poly(vinylbutyral)
Polyvinylalcohols,Poly(vinylformal)
plastic,Polyvinylesters
Polyvinylesters,Poly(vinylacetate)
Polyvinylesters,Poly(vinylbenzoate)
Polyvinylesters,Poly(vinylbutyrate)
Polyvinylesters,Poly(vinylcaproate)
Polyvinylesters,Poly(vinylformate)
Polyvinylesters,Poly(vinylpropionate)
Polyvinylesters,Poly(vinylstearate)
Polyvinylesters,Poly(vinylvalerate)
Polyvinylethers,Poly(butylvinylether)
Polyvinylethers,Poly(ethylvinylether)
Polyvinylethers,Poly(hexylvinylether)
Polyvinylethers,Poly(isobutylvinylether)
Polyvinylethers,Poly(isopropylvinylether)
Polyvinylethers,Poly(methylvinylether)
Polyvinylethers,Poly(octylvinylether)
Polyvinylethers,Poly(propylvinylether)
plastic,Polyvinylethers
Polyvinylethers,Poly(sec-butylvinylether)
plastic,Polyvinylketones
Polyvinylketones,Poly(vinylethylketone)
Polyvinylketones,Poly(vinylmethylketone)
Polyvinylketones,Poly(methylisopropenylketone)
Polyvinylketones,Poly(vinylphenylketone)
Polyvinylketones,Poly(vinylpyrrolidone)
plastic,Polyvinylsulfides
Polyvinylsulfides,Poly(vinylbutylsulfide)
Polyvinylsulfides,Poly(vinylethylsulfide)
Polyvinylsulfides,Poly(vinylmethylsulfide)
Polyvinylsulfides,Poly(vinylphenylsulfide)
Polyvinylsulfides,Poly(vinylpropylsulfide)
